Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nf","C_0603_1608Metric",120.775000,-54.000000,0.000000,top
"C2","0.47uf","C_0603_1608Metric",168.000000,-75.000000,0.000000,top
"C3","47uf","CP_Elec_6.3x5.4",153.000000,-58.500000,0.000000,top
"C4","100nf","C_0603_1608Metric",168.000000,-58.500000,0.000000,top
"C5","10nf","C_0603_1608Metric",136.775000,-70.500000,0.000000,top
"C6","100nf","C_0603_1608Metric",152.500000,-75.000000,0.000000,top
"C7","0.1uf","C_0603_1608Metric",120.775000,-46.000000,0.000000,top
"C8","100uf","CP_Elec_6.3x5.4",108.000000,-46.500000,0.000000,top
"C9","220uf","CP_Elec_6.3x5.4",108.200000,-58.500000,0.000000,top
"C10","0.1uf","C_0603_1608Metric",101.500000,-71.000000,0.000000,top
"D2","1N5822","D_DO-201AD_P15.24mm_Horizontal",98.120000,-87.500000,180.000000,top
"J1","Screw_Terminal_01x03","TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal",187.000000,-85.460000,-90.000000,top
"J2","Screw_Terminal_01x03","TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal",129.460000,-29.000000,0.000000,top
"L1","33uH|>=3V","L_12x12mm_H6mm",88.000000,-71.000000,0.000000,top
"R1","10k","R_0603_1608Metric",129.000000,-46.000000,0.000000,top
"R2","10k","R_0603_1608Metric",128.675000,-54.000000,0.000000,top
"R3","10k","R_0603_1608Metric",152.500000,-67.500000,0.000000,top
"R4","10k","R_0603_1608Metric",168.175000,-67.500000,0.000000,top
"R5","100k","R_0603_1608Metric",137.000000,-46.000000,0.000000,top
"R6","100k","R_0603_1608Metric",137.000000,-58.500000,0.000000,top
"R7","10k","R_0603_1608Metric",128.675000,-68.000000,0.000000,top
"U1","STM32G431CBUx","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",116.700000,-70.800000,0.000000,top
"U2","DRV8313PWP","HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.75x6.2mm",138.625000,-87.575000,0.000000,top
"U3","LM2596S-3.3","TO-263-5_TabPin3",91.150000,-47.600000,0.000000,top
